start_station_id,end_station_id,count,station_name.x,lat.x,lon.x,station_name.y,lat.y,lon.y
42,60,593,Boylston St. at Arlington St.,42.352033,-71.070627,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399
80,88,593,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
98,85,593,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927
109,48,593,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,Post Office Square,42.356755,-71.055407
75,76,592,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
24,47,589,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,Cross St. at Hanover St.,42.362811,-71.056067
47,43,588,Cross St. at Hanover St.,42.362811,-71.056067,Rowes Wharf - Atlantic Ave,42.357143,-71.050699
53,53,587,Beacon St / Mass Ave,42.350851,-71.089886,Beacon St / Mass Ave,42.350851,-71.089886
48,6,585,Post Office Square,42.356755,-71.055407,Cambridge St. at Joy St.,42.361174,-71.065142
16,22,584,Back Bay / South End Station,42.34807412317439,-71.07657015323639,South Station - 700 Atlantic Ave.,42.352175,-71.055547
17,70,584,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,42.365064,-71.119233,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
49,22,584,Stuart St. at Charles St.,42.351146,-71.066289,South Station - 700 Atlantic Ave.,42.352175,-71.055547
87,76,584,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
38,98,583,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,Charlestown - Warren St at Chelsea St,42.371848,-71.060292
41,33,582,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,Kenmore Sq / Comm Ave,42.348706,-71.097009
47,24,582,Cross St. at Hanover St.,42.362811,-71.056067,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983
91,67,576,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,MIT at Mass Ave / Amherst St,42.3581,-71.093198
22,121,574,South Station - 700 Atlantic Ave.,42.352175,-71.055547,West Broadway at Dorchester St,42.335693,-71.045859
74,115,574,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Porter Square Station,42.387995,-71.119084
20,47,570,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,Cross St. at Hanover St.,42.362811,-71.056067
9,41,567,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831
23,109,567,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515
58,67,567,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,MIT at Mass Ave / Amherst St,42.3581,-71.093198
26,16,565,Washington St. at Waltham St.,42.341522,-71.068922,Back Bay / South End Station,42.34807412317439,-71.07657015323639
22,16,563,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Back Bay / South End Station,42.34807412317439,-71.07657015323639
71,115,563,Conway Park - Somerville Avenue,42.383405,-71.107593,Porter Square Station,42.387995,-71.119084
141,84,563,Kendall Street,42.363560158429884,-71.08216792345047,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
36,67,562,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,MIT at Mass Ave / Amherst St,42.3581,-71.093198
53,75,562,Beacon St / Mass Ave,42.350851,-71.089886,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066
74,89,562,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945
38,64,561,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,Congress / Sleeper,42.3511,-71.0496
47,64,560,Cross St. at Hanover St.,42.362811,-71.056067,Congress / Sleeper,42.3511,-71.0496
43,22,558,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,South Station - 700 Atlantic Ave.,42.352175,-71.055547
